U,T,population,iterations,cities,powerplants,min0,mean0,max0,min1,mean1,max1
0.1,2.0,10,100,8,3,43.32273908929766,53.27531810159155,62.13095125025346,37.18495781685331,42.45264137125521,46.77992977798494
0.1,2.0,10,100,8,3,39.07660020762957,47.873577882635495,56.21037456436065,35.98889674585836,42.15899312767313,47.26650708026459
0.1,2.0,10,100,8,3,41.66595720937251,52.74180260067986,68.85599952768133,28.744557711263578,38.02319736620182,51.45142264355453
0.1,2.0,10,100,8,3,44.3998521625065,51.44437032056258,65.63449924430128,35.22237450484077,43.24526221569315,54.00297846764392
0.1,2.0,10,100,8,3,32.47417812009694,49.61939096139191,60.36077027164749,28.24068590685415,36.97975203689057,45.59044065737848
0.1,2.0,10,100,8,3,37.334647744488066,49.943231075879275,63.18511954200483,31.57298483600977,37.583252695112805,46.000055985601435
0.1,2.0,10,100,8,3,44.42929685144809,52.45634441804192,60.872274199838685,29.645750995350745,38.37316998539984,46.81582245046104
0.1,2.0,10,100,8,3,35.9703063156875,48.83715545710832,66.03395837287519,30.108899140064143,39.182695600814434,51.93241501923209
0.1,2.0,10,100,8,3,41.60903108754934,49.43466885867654,60.25379475746848,34.976855940484505,42.44723147864769,52.53889277169829
0.1,2.0,10,100,8,3,39.5502367968861,46.95093354748563,55.878606507315915,36.02932692313654,43.14911141123483,50.39737746527916
0.1,2.0,10,100,8,3,41.68882962126274,50.319321441564526,62.39101714539723,34.591318833391,40.19007361710012,46.34231023397108
0.1,2.0,10,100,8,3,39.92542504703866,49.8935783186181,60.5385627402088,37.049622099825484,46.546490907885776,54.67184431621327
0.1,2.0,10,100,8,3,38.356530692107114,45.96920022079011,54.59710565547603,29.605027335654714,36.77552493200768,45.26715205878591
0.1,2.0,10,100,8,3,43.091246261125505,50.616206245407845,58.94613953780345,31.67779349499569,41.21411196821502,48.06825745095568
0.1,2.0,10,100,8,3,39.865497656701585,49.149649373041186,58.497121732424226,28.937326264810334,41.73061577556895,50.6022607558143
0.1,2.0,10,100,8,3,36.879228754333155,50.29854668018446,57.759920609053694,31.95566026219156,41.03982756595296,55.18200193209783
0.1,2.0,10,1000,48,22,4911.880748305759,5386.024900551335,6126.659564332357,3325.681616042789,3522.4615715078858,3703.76696502053
0.1,2.0,10,10,48,22,5066.755971469255,5385.8239369627645,5644.525088117222,4331.25791826146,4635.639463135352,4838.837089281052
0.1,2.0,10,10,48,22,4706.107037433348,5051.50688556288,5838.525369016903,4194.196532652815,4384.20692785527,4754.665372946454
0.1,2.0,10,10,48,22,4891.676432133512,5392.070556187542,5771.667379116986,4579.647870704193,4915.440527756562,5396.829361334903
0.1,2.0,10,10,48,22,4463.101326483559,5293.192645688627,5928.631406125958,4116.053438897991,4373.811960649211,4701.302576419284
0.1,2.0,10,10,48,22,4934.741718161358,5356.675464010422,5775.463775369816,4610.158861202398,4987.358099403324,5297.548305641686
0.1,2.0,10,10000,48,22,5316.308629580749,5638.551672668694,5980.016819304073,3695.496713789082,4133.249716764312,4653.606878036871
